Poll,,Date,Sample,LV/RV,MoE,Clinton (D),Trump (R)
Bloomberg,11/4,11/6,799,LV,3.5,46,43
IBD/TIPP Tracking,11/4,11/7,1107,LV,3.1,43,42
Economist/YouGov,11/4,11/7,3669,LV,--,49,45
LA Times/USC Tracking,11/1,11/7,2935,LV,4.5,44,47
ABC/Wash Post Tracking,11/3,11/6,2220,LV,2.5,49,46
FOX News,11/3,11/6,1295,LV,2.5,48,44
Monmouth,11/3,11/6,748,LV,3.6,50,44
NBC News/Wall St. Jrnl,11/3,11/5,1282,LV,2.7,48,43
CBS News,11/2,11/6,1426,LV,3,47,43
Reuters/Ipsos,11/2,11/6,2196,LV,2.3,44,39
McClatchy/Marist,11/1,11/3,940,LV,3.2,46,44
FOX News,11/1,11/3,1107,LV,3,46,45
NBC News/SM,10/31,11/6,30145,LV,1,51,44
Reuters/Ipsos,10/31,11/4,2244,LV,2.2,44,40
Gravis,10/31,10/31,5360,RV,1.3,50,50
Reuters/Ipsos,10/30,11/3,2021,LV,2.5,44,39
Economist/YouGov,10/30,11/1,1233,LV,3.2,48,45
Reuters/Ipsos,10/29,11/2,1858,LV,2.6,45,39
CBS News/NY Times,10/28,11/1,1333,LV,3,47,44
ABC/Wash Post Tracking,10/27,10/30,1128,LV,3,48,47
LA Times/USC Tracking,10/25,10/31,3145,LV,4.5,43,47
IBD/TIPP Tracking,10/25,10/30,1013,LV,3.3,45,43
NBC News/SM,10/24,10/30,40816,LV,1,51,44
LA Times/USC Tracking,10/22,10/28,3248,LV,4.5,44,46
ABC/Wash Post Tracking,10/23,10/26,1109,LV,3,50,45
Economist/YouGov,10/22,10/26,1209,LV,3.3,49,46
FOX News,10/22,10/25,1221,LV,2.5,49,44
IBD/TIPP Tracking,10/20,10/25,921,LV,3.3,43,41
Pew Research,10/20,10/25,2120,RV,2.4,50,43
ABC News Tracking,10/21,10/24,1119,LV,3,51,43
CNBC,10/21,10/24,--,LV,--,47,37
LA Times/USC Tracking,10/19,10/25,3145,LV,4.5,44,45
